,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarvis,,,,,,,,,,,
,,,,,Mold Temp Set,,Insert Temp Actual,,,,,Injection Velocity,,,,,Injection Pressure's,,,,,,,SR2,,,Global Power Avg,,,,,,,,,,,Lid Molding
Date,Sample ID,CT (mm),PRE-DRY,Mold,A-SIDE,B-SIDE,A-SIDE,B-SIDE,"Melt Temp
(F)","Fill time
(s)",Cooling time,"1st
(%)","2nd
(%)","3rd
(%)","1st
(psi) x 1000","2nd
(psi) x 1000","Inj P Setting
(%)","Pack Set
(%)","Hold Set
(%)","Pack Pressure
(psi) x 1000","Hold Pressure
(psi) x 1000","Shot size
(mm)","Cushion
(mm)","Diopter
3.5+/-0.06","Cyl
(<0.06)","Insert 
Design",R.01,R.02,R.03,R.04,R.05,R.06,R.07,R.08,R.09,R.10,R.11,
,A3P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,4.2,8.5,65,58,55,14.9,14.16,70.82,6.57,3.52,0.05,D_19121901,3.499,3.468,3.448,3.386,3.287,3.159,2.993,2.802,2.53,2.302,1.953,
,A4P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,4.2,8.5,65,58,55,14.9,14.16,70.82,6.57,3.54,0.02,D_19121901,3.596,3.554,3.552,3.488,3.396,3.268,3.111,2.904,2.614,2.371,1.991,
,A5P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.55,325,5,12,8,3.1,8.23,65,58,55,14.8,14.1,70.86,6.42,3.52,0.04,D_19121901,3.491,3.435,3.432,3.39,3.299,3.183,3.027,2.838,2.566,2.347,1.984,
,A6P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.55,325,5,12,8,3.1,8.23,65,58,55,14.8,14.1,70.86,6.42,3.53,0.03,D_19121901,3.537,3.496,3.484,3.41,3.301,3.171,2.996,2.785,2.511,2.294,1.941,
,A7P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.59,325,5,12,8,3.6,8.18,65,58,55,14.9,14.1,70.86,6.64,3.52,0.02,D_19121901,3.527,3.456,3.453,3.384,3.288,3.166,2.997,2.803,2.524,2.305,1.952,
,A8P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.59,325,5,12,8,3.6,8.18,65,58,55,14.9,14.1,70.86,6.64,3.55,0.01,D_19121901,3.779,3.716,3.687,3.629,3.505,3.348,3.151,2.929,2.6,2.363,1.974,
,A9P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,3.6,8.18,65,58,55,14.8,14.16,70.92,6.74,3.52,0.03,D_19121901,3.617,3.579,3.558,3.5,3.392,3.27,3.086,2.874,2.569,2.336,1.977,
,A10P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,3.6,8.18,65,58,55,14.8,14.16,70.92,6.74,3.55,0.03,D_19121901,3.648,3.597,3.582,3.521,3.419,3.287,3.121,2.898,2.59,2.352,2.001,
,A11P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,3.9,8.23,65,58,55,15,14.1,70.93,6.77,3.52,0.04,D_19121901,3.514,3.471,3.46,3.405,3.316,3.189,3.029,2.838,2.556,2.327,1.965,
,A12P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.58,325,5,12,8,3.9,8.23,65,58,55,15,14.1,70.93,6.77,3.54,0.02,D_19121901,3.676,3.61,3.612,3.54,3.427,3.288,3.112,2.891,2.603,2.368,1.996,
